code,name,drawdown_step,total_return,annual_return,max_drawdown,sharpe,entries,score
159209,红利质量ETF,2%,18.37,13.31,-17.71,1.0,4,6.113
159209,红利质量ETF,3%,13.51,9.85,-14.12,0.95,3,4.951
159209,红利质量ETF,4%,8.52,6.25,-10.01,0.87,2,3.733
159209,红利质量ETF,5%,8.52,6.25,-10.01,0.87,2,3.733
159209,红利质量ETF,6%,8.52,6.25,-10.01,0.87,2,3.733
159209,红利质量ETF,8%,3.29,2.43,-5.2,0.65,1,2.125
159209,红利质量ETF,10%,3.29,2.43,-5.2,0.65,1,2.125
159399,现金流ETF,2%,5.19,3.63,-13.54,0.48,4,0.547
159399,现金流ETF,3%,6.35,4.44,-12.6,0.59,4,1.47
159399,现金流ETF,4%,4.48,3.14,-12.21,0.47,3,0.538
159399,现金流ETF,5%,2.26,1.59,-12.1,0.27,2,-0.815
159399,现金流ETF,6%,2.26,1.59,-12.1,0.27,2,-0.815
159399,现金流ETF,8%,2.5,1.76,-6.29,0.44,2,0.942
159399,现金流ETF,10%,0.27,0.19,-6.18,0.07,1,-0.931
159581,红利ETF,2%,7.57,3.19,-12.06,0.32,4,0.143
159581,红利ETF,3%,9.21,3.86,-12.1,0.38,4,0.65
159581,红利ETF,4%,6.81,2.87,-9.37,0.36,3,0.641
159581,红利ETF,5%,7.11,3.0,-9.39,0.37,3,0.732
159581,红利ETF,6%,3.78,1.61,-6.4,0.29,2,0.395
159581,红利ETF,8%,4.71,2.0,-6.47,0.35,2,0.756
159581,红利ETF,10%,4.74,2.01,-6.48,0.35,2,0.759
